Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1416960911563280654,1416696412191,__set_config__,
0,0,admin,1416960912088194662,1416960911791,__page_loaded__,
0,0,1,1416960913330943689,0,__register__,"{""user_id"": ""1""}"
0,0,admin,1416960913335830504,1416960913038,do_lottery,
0,1,1,1416960913336168485,1416960913039,__set_group__,"{""group"": 1}"
0,0,2,1416960913337362267,0,__register__,"{""user_id"": ""2""}"
0,1,1,1416960913339962641,1416960913042,__set_group__,"{""group"": 1}"
0,0,1,1416960913345155681,1416960913348,__page_loaded__,
0,0,admin,1416960913346575081,1416960913048,do_lottery,
0,1,1,1416960913346907968,1416960913048,__set_group__,"{""group"": 1}"
0,1,2,1416960913347400308,1416960913048,__set_group__,"{""group"": 1}"
0,0,3,1416960913348096783,0,__register__,"{""user_id"": ""3""}"
0,1,1,1416960913349631308,1416960913051,__set_group__,"{""group"": 1}"
0,1,2,1416960913350151338,1416960913051,__set_group__,"{""group"": 1}"
0,0,2,1416960913353921037,1416960913353,__page_loaded__,
0,0,admin,1416960913359827092,1416960913057,do_lottery,
0,1,1,1416960913360204706,1416960913062,__set_group__,"{""group"": 1}"
0,1,2,1416960913360726189,1416960913062,__set_group__,"{""group"": 1}"
0,1,3,1416960913361242416,1416960913062,__set_group__,"{""group"": 1}"
0,1,2,1416960913362542364,1416960913065,__set_group__,"{""group"": 1}"
0,1,1,1416960913363072121,1416960913065,__set_group__,"{""group"": 1}"
0,1,3,1416960913364363147,1416960913065,__set_group__,"{""group"": 1}"
0,0,3,1416960913364734378,1416960913367,__page_loaded__,
0,0,4,1416960931394176995,0,__register__,"{""user_id"": ""4""}"
0,0,admin,1416960931402504912,1416960931405,do_lottery,
0,1,1,1416960931402932971,1416960931405,__set_group__,"{""group"": 1}"
0,1,2,1416960931403506028,1416960931405,__set_group__,"{""group"": 1}"
0,1,3,1416960931404048461,1416960931405,__set_group__,"{""group"": 1}"
0,1,4,1416960931404568024,1416960931405,__set_group__,"{""group"": 1}"
0,1,2,1416960931408788225,1416960931410,__set_group__,"{""group"": 1}"
0,1,3,1416960931409424676,1416960931410,__set_group__,"{""group"": 1}"
0,1,1,1416960931410010467,1416960931410,__set_group__,"{""group"": 1}"
0,1,4,1416960931410573340,1416960931410,__set_group__,"{""group"": 1}"
0,0,4,1416960931475093004,1416960931479,__page_loaded__,
0,0,5,1416960936989061745,0,__register__,"{""user_id"": ""5""}"
0,0,admin,1416960936997308021,1416960937000,do_lottery,
0,1,1,1416960936997810838,1416960937000,__set_group__,"{""group"": 1}"
0,1,2,1416960936998395518,1416960937000,__set_group__,"{""group"": 1}"
0,1,3,1416960936998945207,1416960937000,__set_group__,"{""group"": 1}"
0,1,4,1416960936999492114,1416960937000,__set_group__,"{""group"": 1}"
0,1,5,1416960937000034771,1416960937000,__set_group__,"{""group"": 1}"
0,1,3,1416960937004052016,1416960937005,__set_group__,"{""group"": 1}"
0,1,4,1416960937004662874,1416960937005,__set_group__,"{""group"": 1}"
