Message,Period,Time,Slot,Subject,Group,CTR,Revenue,Bid,VFC,Cost,Payoff
sync_net,1,00:15:54,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:15:54,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:15:54,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:15:54,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:15:56,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:15:56,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:15:56,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:15:56,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:15:58,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:15:58,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:15:58,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:15:58,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:00,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:00,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:00,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:00,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:02,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:02,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:02,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:02,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:04,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:04,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:04,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:04,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:05,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:05,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:05,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:05,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:07,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:07,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:07,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:07,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:09,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:09,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:09,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:09,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:11,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:11,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:11,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:11,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:12,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:12,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:12,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:12,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:13,-1,1,1,190,1900,0,10,0,1900
sync_net,1,00:16:13,-1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:13,-1,5,1,400,12000,0,30,0,12000
sync_net,1,00:16:13,-1,7,1,1,40,0,40,0,40
""
sync_net,1,00:16:14,-1,3,2,190,1900,0,10,0,1900
sync_net,1,00:16:14,-1,4,2,380,7600,0,20,0,7600
sync_net,1,00:16:14,-1,6,2,400,12000,0,30,0,12000
sync_net,1,00:16:14,-1,8,2,1,40,0,40,0,40
""
sync_net,1,00:16:14,0,1,1,400,4000,33.18,10,0,4000
sync_net,1,00:16:14,1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:14,2,5,1,190,5700,0,30,0,5700
sync_net,1,00:16:14,3,7,1,0,0,0,40,0,0
""
sync_net,1,00:16:15,0,1,1,400,4000,33.79,10,0,4000
sync_net,1,00:16:15,1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:15,2,5,1,190,5700,0,30,0,5700
sync_net,1,00:16:15,3,7,1,0,0,0,40,0,0
""
sync_net,1,00:16:16,-1,3,2,190,1900,0,10,0,1900
sync_net,1,00:16:16,-1,4,2,380,7600,0,20,0,7600
sync_net,1,00:16:16,-1,6,2,400,12000,0,30,0,12000
sync_net,1,00:16:16,-1,8,2,1,40,0,40,0,40
""
sync_net,1,00:16:16,0,1,1,400,4000,33.79,10,0,4000
sync_net,1,00:16:16,1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:16,2,5,1,190,5700,0,30,0,5700
sync_net,1,00:16:16,3,7,1,0,0,0,40,0,0
""
sync_net,1,00:16:17,0,1,1,400,4000,33.79,10,0,4000
sync_net,1,00:16:17,1,2,1,380,7600,0,20,0,7600
sync_net,1,00:16:17,2,5,1,190,5700,0,30,0,5700
sync_net,1,00:16:17,3,7,1,0,0,0,40,0,0
""
sync_net,1,00:16:18,-1,3,2,190,1900,0,10,0,1900
sync_net,1,00:16:18,-1,4,2,380,7600,0,20,0,7600
