Message,Period,Time,Slot,Subject,Group,CTR,Revenue,Bid,VFC,Cost,Payoff
sync_net,1,19:05:32,-1,1,1,190,1900,0,10,0,1900
sync_net,1,19:05:32,-1,2,1,380,7600,0,20,0,7600
sync_net,1,19:05:32,-1,3,1,400,12000,0,30,0,12000
sync_net,1,19:05:32,-1,4,1,1,40,0,40,0,40
""
sync_net,1,19:05:33,0,1,1,400,4000,38.69,10,0,4000
sync_net,1,19:05:33,1,2,1,380,7600,0,20,0,7600
sync_net,1,19:05:33,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:33,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:34,0,1,1,400,4000,38.69,10,0,4000
sync_net,1,19:05:34,1,2,1,380,7600,0,20,0,7600
sync_net,1,19:05:34,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:34,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:35,0,1,1,400,4000,38.69,10,0,4000
sync_net,1,19:05:35,1,2,1,380,7600,0,20,0,7600
sync_net,1,19:05:35,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:35,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:36,0,2,1,400,8000,42.35,20,773.8000000000011,7226.199999999999
sync_net,1,19:05:36,1,1,1,380,3800,38.69,10,0,3800
sync_net,1,19:05:36,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:36,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:37,0,2,1,400,8000,42.97,20,773.8000000000011,7226.199999999999
sync_net,1,19:05:37,1,1,1,380,3800,38.69,10,0,3800
sync_net,1,19:05:37,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:37,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:38,0,2,1,400,8000,42.97,20,773.8000000000011,7226.199999999999
sync_net,1,19:05:38,1,1,1,380,3800,38.69,10,0,3800
sync_net,1,19:05:38,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:38,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:39,0,2,1,400,8000,42.97,20,773.8000000000011,7226.199999999999
sync_net,1,19:05:39,1,1,1,380,3800,38.69,10,0,3800
sync_net,1,19:05:39,2,3,1,190,5700,0,30,0,5700
sync_net,1,19:05:39,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:41,0,2,1,400,8000,42.97,20,6671.400000000001,1328.5999999999995
sync_net,1,19:05:41,1,1,1,380,3800,38.69,10,5897.599999999999,-2097.5999999999995
sync_net,1,19:05:41,2,3,1,190,5700,31.04,30,0,5700
sync_net,1,19:05:41,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:42,0,2,1,400,8000,42.97,20,6671.400000000001,1328.5999999999995
sync_net,1,19:05:42,1,1,1,380,3800,38.69,10,5897.599999999999,-2097.5999999999995
sync_net,1,19:05:42,2,3,1,190,5700,31.04,30,0,5700
sync_net,1,19:05:42,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:43,0,2,1,400,8000,42.97,20,6671.400000000001,1328.5999999999995
sync_net,1,19:05:43,1,1,1,380,3800,38.69,10,5897.599999999999,-2097.5999999999995
sync_net,1,19:05:43,2,3,1,190,5700,31.04,30,0,5700
sync_net,1,19:05:43,3,4,1,0,0,0,40,0,0
""
sync_net,1,19:05:44,0,2,1,400,8000,42.97,20,14089.7,-6089.700000000001
sync_net,1,19:05:44,1,4,1,380,15200,42.05,40,13248.699999999999,1951.300000000001
sync_net,1,19:05:44,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:44,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:45,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:45,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:45,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:45,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:46,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:46,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:46,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:46,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:47,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:47,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:47,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:47,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:48,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:48,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:48,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:48,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:49,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:49,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:49,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:49,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:50,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:50,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:50,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:50,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:51,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:51,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:51,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:51,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:52,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:52,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:52,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:52,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:53,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:53,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:53,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:53,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:55,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:55,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:55,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:55,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:56,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
sync_net,1,19:05:56,1,2,1,380,7600,42.97,20,13248.699999999999,-5648.699999999999
sync_net,1,19:05:56,2,1,1,190,1900,38.69,10,5897.599999999999,-3997.5999999999995
sync_net,1,19:05:56,3,3,1,0,0,31.04,30,0,0
""
sync_net,1,19:05:57,0,4,1,400,16000,47.55,40,14108.099999999999,1891.9000000000015
