Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1417719886202068484,1417719886194,__page_loaded__,
0,0,1,1417719892542438271,0,__register__,"{""user_id"": ""1""}"
0,0,1,1417719892566419145,1417719892559,__page_loaded__,
0,0,admin,1417719892566630717,1417719892559,do_lottery,
0,1,1,1417719892566947061,1417719892559,__set_group__,"{""group"": 1}"
0,1,1,1417719892587842094,1417719892581,__set_group__,"{""group"": 1}"
0,0,2,1417719895140791304,0,__register__,"{""user_id"": ""2""}"
0,0,admin,1417719895168275657,1417719895159,do_lottery,
0,1,1,1417719895168608044,1417719895159,__set_group__,"{""group"": 1}"
0,1,2,1417719895169069766,1417719895159,__set_group__,"{""group"": 1}"
0,0,2,1417719895177379607,1417719895161,__page_loaded__,
0,1,2,1417719895193544416,1417719895183,__set_group__,"{""group"": 1}"
0,1,1,1417719895194059296,1417719895183,__set_group__,"{""group"": 1}"
0,0,3,1417719897122488886,0,__register__,"{""user_id"": ""3""}"
0,0,admin,1417719897145688520,1417719897138,do_lottery,
0,1,1,1417719897146589324,1417719897138,__set_group__,"{""group"": 1}"
0,1,2,1417719897147092060,1417719897138,__set_group__,"{""group"": 1}"
0,1,3,1417719897147590326,1417719897138,__set_group__,"{""group"": 1}"
0,0,3,1417719897152632861,1417719897140,__page_loaded__,
0,1,3,1417719897169161618,1417719897160,__set_group__,"{""group"": 1}"
0,1,2,1417719897169689334,1417719897160,__set_group__,"{""group"": 1}"
0,1,1,1417719897175813681,1417719897160,__set_group__,"{""group"": 1}"
0,0,4,1417719898000221981,0,__register__,"{""user_id"": ""4""}"
0,0,admin,1417719898024153869,1417719898018,do_lottery,
0,1,1,1417719898029214048,1417719898018,__set_group__,"{""group"": 1}"
0,0,4,1417719898029611535,1417719898022,__page_loaded__,
0,1,2,1417719898029966817,1417719898018,__set_group__,"{""group"": 1}"
0,1,3,1417719898030605867,1417719898018,__set_group__,"{""group"": 1}"
0,1,4,1417719898031115201,1417719898018,__set_group__,"{""group"": 1}"
0,1,2,1417719898046517540,1417719898038,__set_group__,"{""group"": 1}"
0,1,4,1417719898050734241,1417719898038,__set_group__,"{""group"": 1}"
0,1,3,1417719898051293298,1417719898038,__set_group__,"{""group"": 1}"
0,1,1,1417719898064300348,1417719898038,__set_group__,"{""group"": 1}"
0,0,admin,1417719921949003874,1417719921922,__set_config__,
