Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1413577677096139877,1413419329218,__set_config__,
0,0,admin,1413577677521298370,1413577662998,__page_loaded__,
0,0,5,1413577678431470801,0,__register__,"{""user_id"": ""5""}"
0,1,5,1413577678456570401,1413577663920,__set_group__,"{""group"": 1}"
0,0,5,1413577678468847333,1413577663935,__page_loaded__,
0,0,8,1413577678477441787,0,__register__,"{""user_id"": ""8""}"
0,1,5,1413577678505619845,1413577663965,__set_group__,"{""group"": 1}"
0,1,8,1413577678506112068,1413577663965,__set_group__,"{""group"": 1}"
0,0,8,1413577678514222596,1413577663978,__page_loaded__,
0,0,4,1413577678531352827,0,__register__,"{""user_id"": ""4""}"
0,1,4,1413577678556674490,1413577664017,__set_group__,"{""group"": 1}"
0,1,5,1413577678557211537,1413577664017,__set_group__,"{""group"": 1}"
0,1,8,1413577678557742776,1413577664017,__set_group__,"{""group"": 1}"
0,0,4,1413577678563458402,1413577664023,__page_loaded__,
0,0,6,1413577678587372298,0,__register__,"{""user_id"": ""6""}"
0,1,4,1413577678613135044,1413577664072,__set_group__,"{""group"": 1}"
0,1,5,1413577678613692720,1413577664072,__set_group__,"{""group"": 1}"
0,1,6,1413577678614207030,1413577664072,__set_group__,"{""group"": 1}"
0,1,8,1413577678614758993,1413577664072,__set_group__,"{""group"": 1}"
0,0,6,1413577678619547457,1413577664078,__page_loaded__,
0,0,1,1413577678641476377,0,__register__,"{""user_id"": ""1""}"
0,1,1,1413577678667559152,1413577664126,__set_group__,"{""group"": 1}"
0,1,4,1413577678668166630,1413577664126,__set_group__,"{""group"": 1}"
0,1,5,1413577678668741033,1413577664126,__set_group__,"{""group"": 1}"
0,1,6,1413577678669323354,1413577664126,__set_group__,"{""group"": 1}"
0,1,8,1413577678669894147,1413577664127,__set_group__,"{""group"": 1}"
0,0,1,1413577678674917815,1413577664137,__page_loaded__,
0,0,2,1413577678698387059,0,__register__,"{""user_id"": ""2""}"
0,1,1,1413577678723447325,1413577664183,__set_group__,"{""group"": 1}"
0,1,2,1413577678724049009,1413577664183,__set_group__,"{""group"": 1}"
