Message,Period,Time,Slot,Subject,Group,CTR,Revenue,Bid,VFC,Cost,Payoff
sync_net,1,18:09:20,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:20,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:20,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:20,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:21,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:21,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:21,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:21,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:22,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:22,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:22,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:22,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:23,-1,1,2,190,1900,0,10,0,1900
sync_net,1,18:09:23,-1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:23,-1,3,2,400,12000,0,30,0,12000
sync_net,1,18:09:23,-1,4,2,1,40,0,40,0,40
""
sync_net,1,18:09:23,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:23,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:23,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:23,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:23,-1,1,2,190,1900,0,10,0,1900
sync_net,1,18:09:23,-1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:23,-1,3,2,400,12000,0,30,0,12000
sync_net,1,18:09:23,-1,4,2,1,40,0,40,0,40
""
sync_net,1,18:09:24,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:24,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:24,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:24,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:25,0,1,2,400,4000,8.77,10,0,4000
sync_net,1,18:09:25,1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:25,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:25,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:25,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:25,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:25,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:25,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:26,0,1,2,400,4000,28.77,10,0,4000
sync_net,1,18:09:26,1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:26,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:26,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:26,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:26,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:26,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:26,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:27,0,1,2,400,4000,28.77,10,0,4000
sync_net,1,18:09:27,1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:27,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:27,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:27,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:27,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:27,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:27,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:28,0,1,2,400,4000,28.77,10,0,4000
sync_net,1,18:09:28,1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:28,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:28,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:28,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:28,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:28,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:28,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:29,0,1,2,400,4000,28.77,10,0,4000
sync_net,1,18:09:29,1,2,2,380,7600,0,20,0,7600
sync_net,1,18:09:29,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:29,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:30,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:30,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:30,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:30,-1,8,1,1,40,0,40,0,40
""
sync_net,1,18:09:30,0,1,2,400,4000,28.77,10,0,4000
sync_net,1,18:09:30,1,2,2,380,7600,21.48,20,0,7600
sync_net,1,18:09:30,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:30,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:31,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:31,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:31,-1,7,1,400,12000,0,30,0,12000
sync_net,1,18:09:31,-1,8,1,1,40,38.89,40,0,40
""
sync_net,1,18:09:31,0,1,2,400,4000,28.77,10,8592,-4592
sync_net,1,18:09:31,1,2,2,380,7600,21.48,20,0,7600
sync_net,1,18:09:31,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:31,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:32,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:32,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:32,-1,7,1,400,12000,0,30,15556,-3556
sync_net,1,18:09:32,-1,8,1,1,40,38.89,40,0,40
""
sync_net,1,18:09:32,0,1,2,400,4000,28.77,10,8592,-4592
sync_net,1,18:09:32,1,2,2,380,7600,21.48,20,0,7600
sync_net,1,18:09:32,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:32,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:33,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:33,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:33,-1,7,1,400,12000,0,30,15556,-3556
sync_net,1,18:09:33,-1,8,1,1,40,38.89,40,0,40
""
sync_net,1,18:09:33,0,1,2,400,4000,28.77,10,8592,-4592
sync_net,1,18:09:33,1,2,2,380,7600,21.48,20,0,7600
sync_net,1,18:09:33,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:33,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:34,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:34,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:34,-1,7,1,400,12000,0,30,15556,-3556
sync_net,1,18:09:34,-1,8,1,1,40,38.89,40,0,40
""
sync_net,1,18:09:35,0,1,2,400,4000,28.77,10,8592,-4592
sync_net,1,18:09:35,1,2,2,380,7600,21.48,20,0,7600
sync_net,1,18:09:35,2,3,2,190,5700,0,30,0,5700
sync_net,1,18:09:35,3,4,2,0,0,0,40,0,0
""
sync_net,1,18:09:35,-1,5,1,190,1900,0,10,0,1900
sync_net,1,18:09:35,-1,6,1,380,7600,0,20,0,7600
sync_net,1,18:09:35,-1,7,1,400,12000,0,30,15556,-3556
